id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
219347,South Dakota School of Mines and Technology,93,73,4128,31,4845,29,3436,28,1846,26,1001,57,2199,70,6058,69,5464,5,9433
219383,University of Sioux Falls,100,100,14534,35,7383,32,5218,33,2860,16,1000,100,11771,89,8400,88,5932,23,9808
219505,American Baptist College,100,100,2578,100,2453,100,2453,0,,13,1000,0,,63,3484,63,3484,0,
219602,Austin Peay State University,97,90,7350,55,4509,55,4165,26,762,72,4431,17,5966,56,5285,56,5196,1,8794
219639,Baptist Memorial College of Health Sciences,100,100,6946,40,4306,40,4139,13,500,68,5042,64,2829,62,6138,62,5044,11,6013
219709,Belmont University,81,73,10725,19,4374,17,4196,5,2226,28,4807,64,8833,49,6459,48,5473,4,13963
219833,Christian Brothers University,100,100,20618,48,5159,48,4469,41,800,78,5614,100,13756,65,6387,65,6146,2,7556
219976,Lipscomb University,100,100,13146,34,5096,34,4196,33,932,58,4371,99,8882,59,7766,59,6868,5,10998
220075,East Tennessee State University,94,87,7023,50,4790,50,4279,33,767,70,4514,13,4571,47,5216,47,5208,1,469
220181,Fisk University,79,75,12590,53,5782,53,4969,23,1844,20,5776,60,8870,63,6876,63,6876,0,
220206,Free Will Baptist Bible College,100,98,7665,36,4066,36,3698,16,843,34,4000,89,5245,66,6075,66,5455,18,2248
220516,King College,85,85,17823,45,5120,42,4811,23,1327,42,4914,79,13461,58,6870,58,6840,0,4000
220552,South College,95,88,6706,88,5018,76,5299,66,571,35,4298,0,,87,9647,87,9377,6,3688
220598,Lane College,100,100,6727,95,5602,92,4636,93,1147,28,4158,11,1886,92,5979,92,5971,0,8500
220604,Le Moyne-Owen College,84,84,4023,77,2943,77,2558,52,573,23,2871,12,3758,71,3607,71,3607,0,
220613,Lee University,96,89,10810,40,4731,40,4291,25,739,39,4868,72,8128,55,8153,55,7657,3,10131
220808,Memphis College of Art,100,100,14890,55,5163,55,4510,55,653,26,5419,100,10611,72,5859,72,5859,0,
220862,University of Memphis,97,92,8458,55,5137,55,4499,41,855,73,4665,29,5410,55,5323,55,5323,0,
220941,Victory University,100,92,2440,79,1814,79,1636,21,675,13,2167,13,4239,54,3519,54,3519,0,
220978,Middle Tennessee State University,95,90,7801,49,5209,48,4644,43,773,80,4711,21,3556,51,5156,51,4973,1,7484
221254,O'More College of Design,97,86,10455,48,4982,48,4161,38,1045,76,4239,72,4684,79,5960,72,5099,7,15000
221351,Rhodes College,95,94,20636,16,6188,16,4098,16,2143,25,5091,94,18312,49,5568,49,5273,1,10254
221740,The University of Tennessee at Chattanooga,98,95,7365,35,5069,35,4361,33,770,89,4469,34,3577,46,5059,45,4998,1,8231
221759,The University of Tennessee,96,94,8407,29,5065,29,4166,26,1031,87,4618,67,3630,47,6716,43,6770,4,6164
221838,Tennessee State University,99,91,8871,80,5482,80,5011,24,1613,38,4189,32,6443,79,6660,79,6353,2,13559
221856,Tennessee Temple University,88,88,5632,72,4343,72,3950,36,796,6,3214,60,2694,76,6636,76,6531,2,4328
221892,Trevecca Nazarene University,99,99,11693,88,2636,49,3872,39,1102,45,4602,98,7306,90,4537,88,4512,2,5900
221971,Union University,100,93,13963,38,5117,33,3892,35,1806,56,5206,90,8973,57,6180,57,5553,3,12411
221999,Vanderbilt University,64,61,37641,17,8047,13,3996,16,5511,13,5502,59,35087,14,7322,13,5000,1,27654
222178,Abilene Christian University,97,96,10856,25,4422,24,3637,21,1060,34,3512,94,8657,63,12056,61,8332,26,9817
